# The integration corpus: real repositories kibble runs against on a schedule,
# each pinned to a commit and to the verdict counts a person verified by hand.
# A drifting count means kibble's judgment changed, not the repository, which
# is exactly the regression this exists to catch. Columns are tab-separated:
# name	clone URL	pinned commit	expected pass,fail,gap counts
# Brew checks reach formulae.brew.sh, so a network blip can turn one PASS into
# a SKIP and move a count for a week. A red corpus run whose only drift is one
# fewer pass deserves a rerun before it deserves a bug hunt. A row expecting
# 0,0,0 is not an empty check: it pins that kibble invents nothing on a
# repository where there is nothing to find.
# Every count below was re-pinned on 2026-09-08 after the job started working.
# It had compared results whose status was PASS, which nothing has emitted
# since the verdict taxonomy was rewritten, so every row read as drifted and a
# real drift was indistinguishable from the standing breakage. The counts went
# stale underneath that for weeks.
#
# Re-pinning is the move this file exists to prevent, so each one was earned
# rather than accepted. kibble was built at the commit before the change that
# uncovered this and run against the same repositories on the same machine: the
# counts came back identical, ripgrep row for row. The drift was already there
# and none of it was hiding a regression. Do the same before ever moving one of
# these again, and if the old and new answers differ, the difference is the
# work rather than the number.
# ripgrep once expected 4,2,0. Both FAILs were kibble's, not the docs': one
# was the FAQ's BSD-sed variant, scoped to macOS by its own prose and run on
# Linux anyway, and one was the guide's some-utf16-file, a file the guide
# calls "just an example". The gap that remains is that example file.
ripgrep	https://github.com/BurntSushi/ripgrep.git	3fce3b5bb0236da2df6d99672afb8a719642eca7	2,0,1
nodemon	https://github.com/remy/nodemon.git	5de021f6cd5c71814b6c2d1c60af3cc01fa2cc69	2,0,0
# fd is the one row that moves on a quiet network. Its npm package fetches a
# prebuilt binary, and when that fetch fails the two checks reading the
# installed tool have nothing to read, so 6,0,0 becomes 4,0,0. That is now an
# ERROR naming the fetch rather than a FAIL naming the document, and a run
# whose only drift is this deserves a rerun before it deserves a bug hunt.
fd	https://github.com/sharkdp/fd.git	cdea7f56331ebc7bb799aa9f718a6eee9a4a1cfc	6,0,0
glow	https://github.com/charmbracelet/glow.git	e3970c813d93da1ea84edfca90c289d9afb82242	4,0,1
httpie	https://github.com/httpie/cli.git	5b604c37c6c67e18e7c3e9aee6c88a8c22b98345	0,0,0
rich-cli	https://github.com/Textualize/rich-cli.git	46f4d2469097be395558768714a5f07ebccf1412	2,0,1
